reg_i,reg_u,k,train_rmse,test_rmse
20,30,10,0.5466029468326425,1.2627445791009533
20,30,20,0.6022202569400874,1.2611753594467539
20,30,40,0.614824649028424,1.261848482739115
40,60,10,0.6532670179161958,1.2592486134505985
40,60,20,0.7264148890690153,1.2601524738659038
40,60,40,0.7509370680742675,1.2635775587748286
20,30,10,0.5465001682036215,1.2633411772768615
20,30,20,0.6021462237257054,1.261174005807048
20,30,40,0.6150100102162761,1.2617229254359632
40,60,10,0.6531266069281507,1.2600000804255223
40,60,20,0.7263826415645647,1.2599141399698144
40,60,40,0.75090330509107,1.264019341191357
