reg,learning_rate,k,train_rmse,test_rmse
0.02,0.005,10,0.6430129929693328,1.2752871875727587
0.02,0.005,20,0.714546182768424,1.2720963775801704
0.02,0.005,40,0.7341644673113792,1.2729057447556995
0.05,0.005,10,0.6527339789757372,1.2764253015159215
0.05,0.005,20,0.7170267291776097,1.2706450632672828
0.05,0.005,40,0.7348011217613214,1.274333439798389
0.1,0.005,10,0.6409633031658586,1.274800627957461
0.1,0.005,20,0.7068949800023724,1.2732429196884614
0.1,0.005,40,0.7210232911420347,1.2730114644432222
0.02,0.01,10,0.6354266235015106,1.280856881997514
0.02,0.01,20,0.6934364812013118,1.2760435587916688
0.02,0.01,40,0.7110069287900117,1.278521382498875
0.05,0.01,10,0.6366425487956263,1.279442986219382
0.05,0.01,20,0.6985700455247938,1.2788707940402246
0.05,0.01,40,0.7219288873225507,1.278680548501086
0.1,0.01,10,0.6432314570379268,1.2798223862593543
0.1,0.01,20,0.6887311552840808,1.274283595464332
0.1,0.01,40,0.7172157116768614,1.2796236093905344
